,name,function,chain,date
200,Game Swap Exchange,Exit Scam,ETH,24.01.2021
201,Boost,Exit Scam,ETH,26.12.2020
202,Zap Finance,Exit Scam,BSC,30.01.2021
203,CoinSWOP,Exit Scam,ETH,04.12.2020
204,Rubick Finance,Exit Scam,ETH,20.11.2020
205,CatDog,Exit Scam,ETH,01.02.2021
206,KoiSwap,Exit Scam,BSC,09.03.2021
207,Thunder Finance,Exit Scam,BSC,04.03.2021
208,MiniVault.Finance,Exit Scam,ETH,26.11.2020
209,Dipex,Exit Scam,ETH,09.01.2021
210,Bank Protocol,Exit Scam,ETH,23.12.2020
211,Yearn Hold Finance,Honeypot,ETH,09.12.2020
212,True Seigniorage Dollar,Exit Scam,ETH,12.03.2021
213,Foxi.finance,,ETH,17.11.2020
214,Slicer Finance,Exit Scam,ETH,01.01.2021
215,Twerk Finance,Exit Scam,ETH,03.12.2020
216,Hypechill fund,Exit Scam,ETH,27.11.2020
217,Tranquility Defi,Exit Scam,ETH,08.02.2021
218,ChaddyFinance,Exit Scam,BSC,07.03.2021
219,RFbtc,Exit Scam,ETH,11.04.2021
220,Fractal Defi,Exit Scam,ETH,16.01.2021
221,D4ppdao Token,Exit Scam,ETH,06.01.2021
222,PulldogSwap,Honeypot,BSC,16.03.2021
223,SAV3R,Exit Scam,ETH,17.11.2020
224,Bing Swap,Exit Scam,BSC,03.04.2021
225,SuperMarioBros,Exit Scam,ETH,23.10.2020
226,Focus,Exit Scam,ETH,28.02.2021
227,Mantle,Exit Scam,ETH,21.03.2021
228,Vadia Finance,Exit Scam,ETH,08.12.2020
229,Reflation,Exit Scam,ETH,14.12.2020
230,Mocha Set Dollar,Exit Scam,ETH,03.01.2021
231,Brother finance,Honeypot,ETH,08.12.2020
232,Relay3rV1,Exit Scam,ETH,11.11.2020
233,CYBER SOLIDITY,Exit Scam,ETH,14.11.2020
234,Metropolis.finance,Exit Scam,ETH,25.12.2020
235,K.O.N.G Token,Exit Scam,ETH,01.12.2020
236,Ren Swap,Honeypot,ETH,09.12.2020
237,Rfyield Finance,Exit Scam,ETH,02.02.2021
238,CHERRY,Honeypot,ETH,28.11.2020
